species_id, time, biomass
1,0.1,1.0
2,0.1,0.18449805904893712
3,0.1,0.9563615663495
4,0.1,0.41663320438886786
5,0.1,0.9099582318959674
6,0.1,1.0
7,0.1,1.0
8,0.1,0.08140222076691006
9,0.1,0.17297474215495945
10,0.1,1.0
11,0.1,0.7266046420017467
12,0.1,1.0
13,0.1,0.5715091877740781
14,0.1,1.0
15,0.1,1.0
1,0.2,0.9761887661881071
2,0.2,0.18607458285224396
3,0.2,0.9135833160085187
4,0.2,0.42307461646589684
5,0.2,0.8859327256912747
6,0.2,0.9734943973354765
7,0.2,0.8373010502850158
8,0.2,0.09324557738597467
9,0.2,0.21281004439774376
10,0.2,0.9733099526504276
11,0.2,0.7476492085338371
12,0.2,0.8767268950878468
13,0.2,0.5761805357682358
14,0.2,0.9738735985504202
15,0.2,0.9727709692876246
1,0.30000000000000004,0.9552689331274837
2,0.30000000000000004,0.1854504078580339
3,0.30000000000000004,0.8754949229884494
4,0.30000000000000004,0.4289717348763116
5,0.30000000000000004,0.8656862688633657
6,0.30000000000000004,0.950182735585463
7,0.30000000000000004,0.7199461600198009
8,0.30000000000000004,0.10439534216146727
9,0.30000000000000004,0.25044285018360535
10,0.30000000000000004,0.9500039396880328
11,0.30000000000000004,0.7678029143074203
12,0.30000000000000004,0.7837351554995325
13,0.30000000000000004,0.5817137602350487
14,0.30000000000000004,0.9510324181515813
15,0.30000000000000004,0.94882368159731
1,0.4,0.9367958210604441
2,0.4,0.183411935500951
3,0.4,0.8415491930703379
4,0.4,0.4343718893829577
5,0.4,0.848524717525068
6,0.4,0.9295660407921742
7,0.4,0.6309650555810273
8,0.4,0.1148830333278273
9,0.4,0.2859024342662158
10,0.4,0.9295386312262066
11,0.4,0.7871033647160063
12,0.4,0.7108327564701599
13,0.4,0.5877674523786619
14,0.4,0.9309534965435039
15,0.4,0.9276429234231258
1,0.5,0.920410497801583
2,0.5,0.18053399409507792
3,0.5,0.8112498008276768
4,0.5,0.43931777086767354
5,0.5,0.8339153790642453
6,0.5,0.9112418208220618
7,0.5,0.5610329274775745
8,0.5,0.12474145325220044
9,0.5,0.31925749158516464
10,0.5,0.9114796702507287
11,0.5,0.8055860657089605
12,0.5,0.6519530410547602
13,0.5,0.5940973261396677
14,0.5,0.9132179160699984
15,0.5,0.9088133229229473
1,0.6000000000000001,0.9058198895693313
2,0.6000000000000001,0.17721696898189504
3,0.6000000000000001,0.7841661820118462
4,0.6000000000000001,0.44384783530532557
5,0.6000000000000001,0.8214432210221394
6,0.6000000000000001,0.8948826030475882
7,0.6000000000000001,0.5045637471657347
8,0.6000000000000001,0.13400329076966752
9,0.6000000000000001,0.350596193728166
10,0.6000000000000001,0.8954754977858422
11,0.6000000000000001,0.8232847450609818
12,0.6000000000000001,0.6032734748476555
13,0.6000000000000001,0.600532625124961
14,0.6000000000000001,0.8974859952013304
15,0.6000000000000001,0.8919973107324557
1,0.7000000000000001,0.8927822221103267
2,0.7000000000000001,0.17372924123996128
